SKU,Bottle_URL,Fitment_URL,Cap_URL,Overcap_URL
amber_placeholder,,,,
GBCylAmb5MtlRollSlSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5MtlRollSlSh/GBCylAmb5MtlRollSlSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5MtlRollSlSh/GBCylAmb5MtlRollSlSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5MtlRollSlSh/GBCylAmb5MtlRollSlSh_overcap.png
GBCylAmb5RollBlkDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkDot/GBCylAmb5RollBlkDot_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkDot/GBCylAmb5RollBlkDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkDot/GBCylAmb5RollBlkDot_overcap.png
GBCylAmb5RollBlkSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkSh/GBCylAmb5RollBlkSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkSh/GBCylAmb5RollBlkSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollBlkSh/GBCylAmb5RollBlkSh_overcap.png
GBCylAmb5RollCuMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollCuMt/GBCylAmb5RollCuMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollCuMt/GBCylAmb5RollCuMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollCuMt/GBCylAmb5RollCuMt_overcap.png
GBCylAmb5RollGlMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlMt/GBCylAmb5RollGlMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlMt/GBCylAmb5RollGlMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlMt/GBCylAmb5RollGlMt_overcap.png
GBCylAmb5RollGlSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlSh/GBCylAmb5RollGlSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlSh/GBCylAmb5RollGlSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollGlSh/GBCylAmb5RollGlSh_overcap.png
GBCylAmb5RollMtlBlkDot,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkDot/GBCylAmb5RollMtlBlkDot_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkDot/GBCylAmb5RollMtlBlkDot_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkDot/GBCylAmb5RollMtlBlkDot_overcap.png
GBCylAmb5RollMtlBlkSh,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkSh/GBCylAmb5RollMtlBlkSh_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkSh/GBCylAmb5RollMtlBlkSh_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlBlkSh/GBCylAmb5RollMtlBlkSh_overcap.png
GBCylAmb5RollMtlCuMt,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlCuMt/GBCylAmb5RollMtlCuMt_bottle.png,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlCuMt/GBCylAmb5RollMtlCuMt_fitment.png,,https://wtpcreoetjounuatzaub.supabase.co/storage/v1/object/public/bottle-images/clean-1500px/GBCylAmb5RollMtlCuMt/GBCylAmb5RollMtlCuMt_overcap.png
